latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.40449,-155.28522,340.96,2.63,1.56,2025-04-07,0115,A,88,6.1NRT,319.32,149.3,D
18.31287,-88.83101,305.99,1.66,1.27,2025-04-07,0251,T,66,6.1NRT,268.49,18.56,N
20.3519,-76.02334,305.2,2.96,1.64,2025-04-07,0251,T,63,6.1NRT,291.84,30.22,N
20.3493,-76.05128,301.67,2.94,1.63,2025-04-07,0251,T,43,6.1NRT,291.65,20.29,N
20.67082,-76.4861,306.02,2.75,1.59,2025-04-07,0251,T,40,6.1NRT,292.05,27.1,N
19.29875,-89.91405,317.27,1.91,1.35,2025-04-07,0251,T,95,6.1NRT,294.73,32.74,N
19.3079,-89.90411,305.4,1.9,1.35,2025-04-07,0251,T,64,6.1NRT,294.4,11.05,N
19.30481,-89.92161,316.51,1.91,1.35,2025-04-07,0251,T,93,6.1NRT,294.59,32.05,N
21.16524,-76.64832,303.83,2.71,1.58,2025-04-07,0251,T,57,6.1NRT,292.33,20.06,N
21.1567,-76.65319,303.98,2.71,1.58,2025-04-07,0251,T,58,6.1NRT,292.26,21.21,N
19.29511,-92.15002,311.21,2.82,1.6,2025-04-07,0251,T,74,6.1NRT,294.44,37.29,N
19.29027,-92.17574,327.86,2.83,1.61,2025-04-07,0251,T,100,6.1NRT,294.64,109.8,N
19.39304,-92.04417,307.06,2.75,1.59,2025-04-07,0251,T,51,6.1NRT,293.92,23.75,N
19.44363,-92.08103,306,2.76,1.59,2025-04-07,0251,T,40,6.1NRT,294.46,20.28,N
19.44858,-92.08854,311.29,2.76,1.59,2025-04-07,0251,T,74,6.1NRT,294.57,35.07,N
22.09175,-80.73663,309.83,1.41,1.17,2025-04-07,0251,T,78,6.1NRT,292.43,13.94,N
22.09018,-80.74997,302.56,1.4,1.17,2025-04-07,0251,T,50,6.1NRT,292.17,6.35,N
22.09824,-80.74402,313.04,1.41,1.17,2025-04-07,0251,T,86,6.1NRT,292.5,17.76,N
22.26055,-80.39517,305.33,1.49,1.21,2025-04-07,0253,T,64,6.1NRT,293.11,10.43,N
22.23097,-80.65845,306.56,1.43,1.18,2025-04-07,0253,T,68,6.1NRT,293.12,10.56,N
22.3154,-81.3395,308.11,1.3,1.13,2025-04-07,0253,T,74,6.1NRT,294.29,10.82,N
22.80632,-79.89336,301.96,1.64,1.26,2025-04-07,0253,T,14,6.1NRT,291.04,7.42,N
22.81746,-79.89479,306.81,1.64,1.26,2025-04-07,0253,T,69,6.1NRT,291.1,13.42,N
37.2315,-96.93945,300.43,2.31,1.47,2025-04-07,0258,T,22,6.1NRT,273.52,27.68,N
37.23523,-96.91928,304.57,2.3,1.47,2025-04-07,0258,T,61,6.1NRT,273.55,38.57,N
42.78519,-91.32053,313.61,1.01,1.01,2025-04-07,0300,T,87,6.1NRT,276.76,17.4,N
43.20526,-91.36841,331.24,1.01,1.01,2025-04-07,0300,T,100,6.1NRT,275.69,36.34,N
